,Tweet,Hashtag
0,@TheBuffaloNews Great to see the osteointegrated program growing @UBuffalo,
1,"After an @AANMember study documented the pay gap between male &amp; female neurologists, @NeurologyToday talked to neurologist @DrABrashear, the #UBuffalo VP for health sciences &amp; @Jacobs_Med_UB dean. “If there are pay inequities, fix them,” she said. Read on: https://t.co/oYsyFtt5fD https://t.co/ZOvRRoRxcK",ubuffalo
2,"Join #UBGSE for Black History Nerds Saturday School! On 2/26, log in to learn about The Hill Project: A Black Studies Curriculum, with Dr. Gholdy Muhammad from University of Illinois at Chicago. 

Save your spot: 
https://t.co/tXJykoepLo.

#BlackHistoryMonth #UBuffalo https://t.co/rZfrXmauAm",ubgse blackhistorymonth ubuffalo
3,"Michael Rembis is the director of the Center for Disability Studies at @UBuffalo. To Dr. Rembis, discussions of ability and “disability” are central to the ideology of eugenics, and have been a key feature since the origin of eugenics in the 1880s. https://t.co/evzHQjWS02",
4,"Thank you, @NeurologyToday, for giving me the opportunity to speak about #PayGaps and #GenderInequity in #neurology. #UBuffalo #WomenInMedicine https://t.co/U64ehXzkd1",paygaps genderinequity neurology ubuffalo womeninmedicine
5,"Article by Chu-Ryang Wie | Two-Qubit Bloch Sphere https://t.co/Z0XIDHW7ub

@MDPIOpenAccess @UBuffalo
#physics #quantum #Bloch #qubit #Sphere #atomic https://t.co/mGsk98NlMT",physics quantum bloch qubit sphere atomic
6,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of Slavery: Disability, Race, and Gender in Antebellum America!
Prof. Barclay will be joined by Dr. Kim Nielsen to discuss her book. https://t.co/hWRgwnickl #UBuffalo https://t.co/OM7bg1gNi6",ubuffalo
7,"It's imperative that nurses are socially and culturally conscious, empathetic, and person-centered. Check out these resources from the SON JEDI Committee to learn more about race, ethnicity and national origin. #UBuffalo #BlackHistoryMonth

https://t.co/iErcpieBSJ https://t.co/qrggUUQsq9",ubuffalo blackhistorymonth
8,"In honor of President’s Day, we invite you to join us and Eat Like a President 🇺🇸

Check out dinner at C3, Govs or Goodyear to sample some of the US President's favorite foods!

#UBuffalo #UBStudentExperience #PresidentsDay https://t.co/Ikxa9RGOm2",ubuffalo ubstudentexperience presidentsday
9,"Paper by @k6logc ( @UBuffalo, USA) and colleagues in @NatureComms: Resolving the structure of #phage-bacteria interactions in the context of natural diversity.
https://t.co/EFn53i616P",phage
10,"Bird eggs in the diet of ancient Pompeii by A. Taivalkoski, E.Holt, M.MacKinnon  @UBuffalo Journal of Archaeological Science: Reports Volume 41, February 2022, 103258 https://t.co/qjyfVykGf6 TLDR: Mostly chicken, put also partridge https://t.co/w7rIbriUTL",
11,The @UBSurgery anti-racism initiative is an example of @Jacobs_Med_UB’s unwavering commitment to providing students with the social and historical understanding they need to be the most effective physicians. #UBuffalo https://t.co/kkIsgZRuVv,ubuffalo
12,"To keep our campus community safe, mandatory weekly surveillance testing will continue for those who:
🔹 Are on campus and have NOT been fully vaccinated 
🔹 Fail to verify that they are fully vaccinated

https://t.co/Oz31OTObuY #UBuffalo",ubuffalo
13,"As we continue through February, remember #UBuffalo GSEU is coming to your department with our Fireside Chat series 🔥 https://t.co/Yfxo6g2Xhk",ubuffalo
14,next time I’ll just go to school coughing and snotting everywhere lesson learned @UBuffalo lmao,
15,"“This division, this hatred, this ugliness has to end. Words matter.” — Joe Biden

A powerful statement issued during President Biden’s visit to #UBuffalo back in 2018. 

#UBMgt #EMBA #PresidentsDay #Biden https://t.co/iMt27SSBk8",ubuffalo ubmgt emba presidentsday biden
16,Work hard but always work smart! @KhalilMurdock of @UBuffalo @UBFootball https://t.co/RLXdpjuFw0,
17,"Join us to learn more about marketing and entrepreneurship from this week's guest speaker Julia Jornsay-Silverberg.
#ubuffalo #marketing #digitalmarketing https://t.co/PrmvPYN9JG",ubuffalo marketing digitalmarketing
18,"I’m an asst professor @UBuffalo studying slow lorises, primate behavioral evolution, movement and sensory morphology. I love going to the field, thinking about data and working with great students. #primatology #BiBARollCall #BiBAWeek2022 #itsmybirthday",primatology bibarollcall bibaweek2022 itsmybirthday
19,"Happy Presidents Day! 🇺🇸

It was a pleasure hosting President Joe Biden as part of UB’s Distinguished Speakers Series, back in 2018! 

#UBuffalo #UBMgt #PMBA #PresidentsDay #Biden https://t.co/08XwS9WbAN",ubuffalo ubmgt pmba presidentsday biden
20,"Current PMBA students will answer your questions about the PMBA experience, program schedule, courses, benefits and more during ""Thursday Coffee Chats""

Connect with a current Professional MBA Student Ambassador today :

https://t.co/2hqAUGSFdT

#UBMgt #UBuffalo #gradschool https://t.co/FXN6zN4bA2",ubmgt ubuffalo gradschool
